StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1.1,Q2.1,Q3.1,Q5.1_1,Q5.1_2,Q5.1_3,Q5.1_4,Q5.1_5,Q6.1,Q6.2_1,Q6.2_2,Q6.2_3,Q6.2_4,Q6.3_1,Q6.3_2,Q6.3_3,Q6.3_4,Q6.4_1,Q6.4_2,Q6.4_3,Q6.4_4,Q7.1_1,Q7.1_2,Q7.1_3,Q7.1_4,Q7.1_5,Q7.1_6,Q7.1_7,Q7.1_8,Q8.1_1,Q8.1_2,Q8.1_3,Q8.1_4,Q8.1_5,Q8.1_6,Q8.2_1,Q8.2_2,Q8.2_3,Q8.2_4,Q8.2_5,Q8.3_1,Q8.3_2,Q8.3_3,Q8.3_4,Q8.3_5,Q9.1_1,Q9.1_2,Q9.1_3,Q9.1_4,Q9.1_5,Q9.1_6,Q9.1_7,Q9.2_1,Q9.2_2,Q9.2_3,Q9.2_4,Q9.2_5,Q9.2_6,Q9.2_7,Q9.2_8,Q9.2_9,Q9.2_10,Q9.2_11,Q9.2_12,Q9.2_13,Q9.2_14,Q9.3_1,Q9.3_2,Q9.3_3,Q9.3_4,Q9.3_5,Q9.3_6,Q9.3_7,Q9.3_8,Q9.3_9,Q9.4_1,Q9.4_2,Q9.4_3,Q9.4_4,Q9.4_5,Q9.4_6,Q9.4_7,Q9.4_8,Q9.4_9,Q9.4_10,Q9.4_11,Q9.4_12,Q10.1_1,Q10.1_2,Q10.1_3,Q10.1_4,Q10.1_5,Q10.1_6,Q10.1_7,Q10.1_8,Q11.1_1,Q11.1_2,Q11.1_3,Q11.1_4,Q11.1_5,Q13.2,Q13.3,Q13.4,Q13.5,Q14.2,Q14.3,Q14.4,Q14.5,Q15.2,Q15.3,Q15.4,Q15.5,Q15.6,Q15.7,Q15.8,Q16.2,Q16.3,Q16.4,Q16.5,Q16.6,Q16.7,Q17.2,Q17.3,Q17.3_3_TEXT,Q17.4,Q17.4_7_TEXT,Q17.5,Q17.6,Q17.7,Q17.8,Q17.9,Q17.10
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,Q_RecaptchaScore,"Title of Study: A Survey of Recent Consumer Habits and Behavior


Principal Investigator (PI): Dr. Trisha R. Shrum	

Funder: USDA Hatch Research Grant


Introduction
You are being invited to take part in this research study because we want to understand recent daily habits and consumer behavior of adults in the US. This study is being conducted by Dr. Shrum at the University of Vermont. 

Purpose 
The purpose of this survey is to help develop a behavioral scale to better understand motivations for consumer behavior.


Study Procedures

If you take part in the study, you will be asked to take a survey.


The survey questions ask whether or not you have done a large number of common consumer behaviors in the past week. We will also collect information about attitudes, values, and demographics. 

You can skip demographic, attitudes, and values questions that you do not feel comfortable answering, but we ask that you be as thorough as possible. The study will take about 12 minutes to complete in a single session. 

Benefits 
As a participant in this research study, there may not be direct benefit for you; however, information from this study may benefit other people now or in the future.


Risks 
Your participation in this study involves minimal foreseeable risks. 

We will not collect any information that will identify you to protect your confidentiality.


Costs 
There will be no costs to you for participation in this research study.


Compensation
For taking part in this research study, you will be reimbursed for your time as specified in the Prolific recruitment process.


Confidentiality

All information collected about you during the course of this study will be stored without any identifiers. No one will be able to match you to your answers. 

Voluntary Participation/Withdrawal
Taking part in this study is voluntary. You are free to not answer any questions or withdraw at any time. You may choose not to take part in this study, or if you decide to take part, you can change your mind later and withdraw from the study. 



Questions

If you have any questions about this study now or in the future, you may contact me, Dr. Trisha Shrum at the following phone number: (802) 656-8117. If you have questions or concerns about your rights as a research participant, then you may contact the Director of the Research Protections Office at (802) 656-5040. 

It is recommended you print or save a pdf of this information sheet for your records before continuing.

Do you consent to the conditions of this survey?","What is your Prolific ID?

Please note that this response should auto-fill with the correct ID","We will be randomly selecting 1 out of every 50 participants to receive a
bonus of $10.
You have the option to donate part or all of your bonus to Trees for the Future,
a non-profit that plants trees that remove carbon dioxide from the atmosphere
which helps reduce climate change. You can check out the organization at their
website: https://trees.org/.


Below, choose how much of the $10 bonus you would like to donate to Trees
for the Future and how much you would like to keep for yourself if you win
the bonus.","In the past week, have you ... - run the washing machine without a full load?","In the past week, have you ... - run the dishwasher without a full load?","In the past week, have you ... - turned off the water in the middle of a shower (e.g. while soaping up, shaving, etc.)?","In the past week, have you ... - turned off the water while brushing your teeth?","In the past week, have you ... - watered your lawn?","In the past week, have heated or cooled your home?","In the past week, have you... - set your thermostat at or below 68 degrees?","In the past week, have you... - lowered your thermostat at night? (either manually or pre-programmed)","In the past week, have you... - lowered your thermostat when you were away from home?","In the past week, have you... - used a space heater?","In the past week, have you... - set your thermostat at or above 72 degrees?","In the past week, have you... - increased your thermostat at night?","In the past week, have you... - increased your thermostat when you were away from home?","In the past week, have you... - used a fan to stay cool?","In the past week, have you... - used the cold water setting to wash your clothes?","In the past week, have you... - hung clean clothes to dry?","In the past week, have you... - used a clothes dryer?","In the past week, have you... - went around your house and turned off lights not in use?","In the past week, have you ... - posted or shared content on social media that is critical of environmental policies or initiatives?","In the past week, have you ... - posted any information, articles, or content that are supportive of policies or practices aimed at protecting the environment or promoting sustainability?","In the past week, have you ... - posted ideas or actions to reduce one’s environmental impact on social media?","In the past week, have you ... - spent time outside in nature (e.g., a forest, lake, ocean)?","In the past week, have you ... - watched a nature documentary?","In the past week, have you ... - read about wildlife, nature, or environmental issues?","In the past week, have you ... - participated in a community group focused on environmental issues facing your community?","In the past week, have you ... - had a conversation about environmental issues?","In the past week, have you ... - purchased organic fruits or vegetables?","In the past week, have you ... - purchased locally produced food?","In the past week, have you ... - consumed food from your household's garden?","In the past week, have you ... - brought your own lunch to work or school?","In the past week, have you ... - foraged for wild, edible plants or mushrooms?","In the past week, have you ... - refrained from making a food purchase because it was produced too far away?","In the past week, have you ... - eaten any meat or seafood?","In the past week, have you ... - eaten beef?","In the past week, have you ... - eaten at least one lunch without meat?","In the past week, have you ... - eaten at least one dinner without meat?","In the past week, have you ... - eaten meat or seafood every day?","In the past week, have you ... - consumed cow's milk?","In the past week, have you ... - consumed tofu or meat-substitutes?","In the past week, have you ... - consumed a non-dairy milk alternative?","In the past week, have you ... - consumed oat milk?","In the past week, have you ... - eaten a fully vegan diet?","In the past week, have you ... - drank water from a disposable water bottle while away from your home?","In the past week, have you ... - drank water from disposable water bottles while at home?","In the past week, have you ... - drank filtered or unfiltered tap water at home?","In the past week, have you ... - drank a non-water beverage from a disposable plastic bottle?","In the past week, have you ... - carried a reusable water bottle with you?","In the past week, have you ... - used a reusable coffee/tea travel thermos?","In the past week, have you ... - used a disposable coffee/tea cup?","In the past week, have you ... - declined a bag at the register?","In the past week, have you ... - brought reusable bags to a store?","In the past week, have you ... - used a disposable bag at a store?","In the past week, have you ... - brought your own containers for leftovers or takeout to a restaurant?","In the past week, have you ... - carried reusable utensils or straws while you were away from home?","In the past week, have you ... - used a disposable plate?","In the past week, have you ... - used reusable washcloths or rags for household cleaning?","In the past week, have you ... - used reusable cloth napkins?","In the past week, have you ... - used plastic wrap or new ziploc bags?","In the past week, have you ... - Please leave this question blank.","In the past week, have you ... - used paper towels?","In the past week, have you ... - purchased a product with reduced plastic packaging instead of an option with more plastic packaging?","In the past week, have you ... - chosen glass or aluminum packaged products over plastic packaged products?","In the past week, have you ... - chosen aluminum packaged products over glass packaged products (e.g., aluminum cans vs. glass bottles)?","In the past week, have you ... - recycled glass, plastic, or metal containers?","In the past week, have you ... - recycled paper, cardboard, or cardstock?","In the past week, have you ... - picked up something off of a curb or dumpster to use or recycle?","In the past week, have you ... - composted yard or food waste?","In the past week, have you ... - carried waste with you until you could find a recycling or compost bin instead of throwing it in the trash?","In the past week, have you ... - picked up litter?","In the past week, have you ... - foraged for wild, edible plants or mushrooms?","In the past week, have you ... - thrown away a piece of trash that could have been recycled?","In the past week, have you ... - pulled something recyclable out of a trash can even though it was not yours?","In the past week, have you ... - diluted soap or liquid products to expand their lifespan?","In the past week, have you ... - given away or sold an item instead of throwing it away?","In the past week, have you ... - repaired something instead of replacing it?","In the past week, have you ... - reused plastic or paper bags?","In the past week, have you ... - thrown away products before using them up?","In the past week, have you ... - thrown out food that had gone bad?","In the past week, have you ... - thrown out food that had not yet gone bad?","In the past week, have you ... - reused glass or plastic containers that were intended to be single-use (such as a glass beverage bottle or take-out container)?","In the past week, have you ... - bought a second-hand item?","In the past week, have you ... - passed on a product to a friend or family member after deciding it wasn’t working for you?","In the past week, have you ... - browsed or participated in a buy-nothing group?","In the past week, have you ... - chosen a slower shipping speed for package deliveries?","In the past week, have you ... - walked as a form of transportation?","In the past week, have you ... - biked as a form of transportation?","In the past week, have you ... - used public transportation?","In the past week, have you ... - carpooled?","In the past week, have you ... - Please leave this question blank.","In the past week, have you ... - driven alone?","In the past week, have you ... - ridden in a taxi/uber alone?","In the past week, have you ... - checked your tire pressure?","In the past week, have you ... - purchased clothing from an inexpensive fast fashion brand (such as H&M, Walmart, Target, Shein, Amazon, or otherwise)?","In the past week, have you ... - avoided buying anything except necessities (ie. food and essentials)?","In the past week, have you ... - put aside old clothing or belongings to donate or sell?","In the past week, have you ... - shopped for second hand clothing?","In the past week, have you ... - tried to buy an item second-hand instead of something new?",Acting environmentally friendly is an important part of who I am.,I am the type of person who acts environmentally friendly.,I see myself as an environmentally friendly person.,I feel morally obligated to act in an environmentally-friendly manner.,Doing something good for the environment would make me feel positive about myself.,I expect to feel good when I behave environmentally friendly.,I anticipate that I would feel good when I do something to help the environment.,I'd feel guilty if I did NOT behave environmentally friendly.,"By purchasing products made in an environmentally friendly way, each consumer's behavior can have a positive effect on the environment and society.","Since each individual can have any effect upon environmental problems, what I do can make meaningful difference.","When I buy products, I tend to try to consider how my use of them will affect the environment.",It is worth it for the individual consumer to make efforts to preserve and improve the environment.,Individuals can influence their governments to make meaningful changes to address climate change.,"Please select ""Agree"". This is an attention check.",The collective actions of individuals can produce meaningful improvements in the world.,Climate change is caused by the use of fossil fuels.,I believe that climate change is happening.,"Please select ""Agree."" This is an attention check.",The world is getting warmer because of human activity.,I have been personally impacted by climate change through extreme weather events.,Climate change is mostly due to natural causes.,What is your age?,What is your gender? - Selected Choice,What is your gender? - Other - Text,What is your racial or ethnicity identification? (Mark all that apply) - Selected Choice,What is your racial or ethnicity identification? (Mark all that apply) - Other - Text,What is your highest degree or level of education?,How would you describe the city that you live in?,What is your annual household income?,Do you have children?,"In the 2020 election, which presidential candidate did you vote for?",How would you describe your political views?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID48""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID105""}","{""ImportId"":""QID2_7""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID2_9""}","{""ImportId"":""QID2_11""}","{""ImportId"":""QID2_10""}","{""ImportId"":""QID113""}","{""ImportId"":""QID104_1""}","{""ImportId"":""QID104_2""}","{""ImportId"":""QID104_3""}","{""ImportId"":""QID104_6""}","{""ImportId"":""QID115_1""}","{""ImportId"":""QID115_2""}","{""ImportId"":""QID115_3""}","{""ImportId"":""QID115_6""}","{""ImportId"":""QID117_4""}","{""ImportId"":""QID117_5""}","{""ImportId"":""QID117_9""}","{""ImportId"":""QID117_6""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_6""}","{""ImportId"":""QID5_7""}","{""ImportId"":""QID5_8""}","{""ImportId"":""QID5_9""}","{""ImportId"":""QID5_10""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID8_6""}","{""ImportId"":""QID6_13""}","{""ImportId"":""QID6_14""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_12""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_11""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID9_7""}","{""ImportId"":""QID9_12""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID15_8""}","{""ImportId"":""QID15_6""}","{""ImportId"":""QID15_7""}","{""ImportId"":""QID15_15""}","{""ImportId"":""QID15_14""}","{""ImportId"":""QID15_9""}","{""ImportId"":""QID15_10""}","{""ImportId"":""QID15_12""}","{""ImportId"":""QID15_11""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_9""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_10""}","{""ImportId"":""QID11_7""}","{""ImportId"":""QID11_8""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID12_5""}","{""ImportId"":""QID12_6""}","{""ImportId"":""QID12_7""}","{""ImportId"":""QID12_8""}","{""ImportId"":""QID12_9""}","{""ImportId"":""QID12_10""}","{""ImportId"":""QID12_11""}","{""ImportId"":""QID12_12""}","{""ImportId"":""QID12_13""}","{""ImportId"":""QID19_4""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID19_8""}","{""ImportId"":""QID19_5""}","{""ImportId"":""QID19_7""}","{""ImportId"":""QID19_6""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID58_2""}","{""ImportId"":""QID58_3""}","{""ImportId"":""QID58_4""}","{""ImportId"":""QID58_5""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID119""}","{""ImportId"":""QID120""}","{""ImportId"":""QID121""}","{""ImportId"":""QID122""}","{""ImportId"":""QID125""}","{""ImportId"":""QID133""}","{""ImportId"":""QID126""}","{""ImportId"":""QID1214067100""}","{""ImportId"":""QID1214067101""}","{""ImportId"":""QID134""}","{""ImportId"":""QID1214067102""}","{""ImportId"":""QID1214067103""}","{""ImportId"":""QID1214067104""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID83_3_TEXT""}","{""ImportId"":""QID84""}","{""ImportId"":""QID84_7_TEXT""}","{""ImportId"":""QID40""}","{""ImportId"":""QID53""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID43""}","{""ImportId"":""QID57""}"
4/4/2023 11:40,4/4/2023 11:40,Survey Preview,100,17,TRUE,4/4/2023 11:40,R_3qBVT0iarXIGnRJ,NA,NA,NA,NA,preview,EN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/4/2023 13:38,4/4/2023 13:41,Survey Preview,100,198,TRUE,4/4/2023 13:41,R_3Ey8KfDl8VOlXi7,NA,NA,NA,NA,preview,EN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/17/2023 15:05,4/17/2023 15:05,Survey Preview,100,9,TRUE,4/17/2023 15:05,R_2Bsw5oG3Ng7HxVm,NA,NA,NA,NA,preview,EN,1,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/20/2023 8:20,4/20/2023 8:36,IP Address,100,969,TRUE,4/20/2023 8:36,R_e4ZOP35INjdRoWd,NA,NA,NA,NA,anonymous,EN,0.899999976,Yes,NA,$5 for Trees for the Future; $5 for myself,No,No,No,Yes,No,"Yes, heated",No,Yes,No,No,NA,NA,NA,NA,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,NA,NA,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,NA,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,NA,Yes,No,No,No,No,Yes,Yes,Yes,Agree,Agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Somewhat agree,NA,Strongly agree,Strongly agree,Strongly agree,NA,Strongly agree,Disagree,Strongly disagree,25-34,Male,NA,"White or Caucasian,Asian or Asian American",NA,Bachelor's Degree,Urban,"$25,000 - $50,000",No,Biden/Harris,Liberal
4/20/2023 8:58,4/20/2023 8:59,Survey Preview,100,6,TRUE,4/20/2023 8:59,R_2s6j1PJgKOB6KcL,NA,NA,NA,NA,preview,EN,1,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/25/2023 11:51,4/25/2023 12:05,IP Address,100,810,TRUE,4/25/2023 12:05,R_2X1aR5MfMHOMGV1,NA,NA,NA,NA,anonymous,EN,1,Yes,564,$8 for Trees for the Future; $2 for myself,No,Yes,No,Yes,No,"Yes, cooled",NA,NA,NA,NA,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,NA,NA,Yes,No,No,No,Yes,Yes,No,No,Yes,No,NA,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,NA,Yes,No,No,No,Yes,Yes,No,No,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Disagree,NA,Somewhat agree,Agree,Agree,NA,Strongly agree,Somewhat agree,Somewhat disagree,25-34,Female,NA,White or Caucasian,NA,Bachelor's Degree,Suburban,"$100,000 - $200,000",No,Biden/Harris,Somewhat conservative
4/25/2023 12:02,4/25/2023 12:15,IP Address,100,753,TRUE,4/25/2023 12:15,R_31snuIjVcDKg0ol,NA,NA,NA,NA,anonymous,EN,0.800000012,Yes,565,$0 for Trees for the Future; $10 for myself,No,No,No,Yes,No,"Yes, heated",Yes,No,No,No,NA,NA,NA,NA,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,NA,NA,No,No,No,No,Yes,Yes,No,Yes,Yes,No,NA,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,NA,No,No,No,No,No,Yes,Yes,Yes,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Strongly agree,Somewhat agree,NA,Agree,Strongly agree,Strongly agree,NA,Strongly agree,Agree,Strongly disagree,25-34,Female,NA,White or Caucasian,NA,Bachelor's Degree,Urban,"$50,000 - $100,000",No,Biden/Harris,Very liberal
4/25/2023 11:46,4/25/2023 12:19,IP Address,100,1989,TRUE,4/25/2023 12:19,R_2QYbGYdLBcN4FNG,NA,NA,NA,NA,anonymous,EN,1,Yes,566,$0 for Trees for the Future; $10 for myself,No,No,Yes,Yes,No,"Yes, heated",No,No,No,Yes,NA,NA,NA,NA,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,NA,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,NA,No,Yes,No,Yes,NA,NA,NA,NA,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,NA,Somewhat agree,Neither agree nor disagree,Strongly agree,NA,Strongly agree,Somewhat agree,Neither agree nor disagree,35-44,Female,NA,Black or African American,NA,Bachelor's Degree,Urban,"$100,000 - $200,000",No,Biden/Harris,Liberal
